consentimento,TI01[SQ001],TI01[SQ002],TI01[SQ004],TI01[SQ003],TI01[SQ005],TI01[SQ006],TI01[SQ007],TI01[SQ008],TI02[SQ001],TI02[SQ002],TI02[SQ003],TI02[SQ004],TI02[SQ005],TI02[SQ006],TI02[SQ007],TI02[SQ008],TI02[SQ009],hab2,hab3,hab4,HAB01[SQ001],HAB01[SQ002],HAB01[SQ003],HAB01[SQ004],HAB01[SQ005],HAB01[SQ006],HAB01[SQ007],HAB01[SQ008],hab5[SQ007],hab5[SQ008],hab5[SQ002],hab5[SQ001],hab5[SQ003],hab5[SQ004],hab5[SQ005],hab5[SQ006],hab6[SQ001],hab6[SQ002],hab6[SQ003],hab6[SQ004],hab7[SQ001],hab7[SQ002],hab7[SQ003],hab7[SQ004],octs1,octs2,octs3,octs4[SQ001],octs4[SQ002],octs4[SQ003],octs4[SQ004],octs5[SQ001],octs5[SQ002],octs5[SQ003],octs5[SQ004],octs5[SQ005],octs6[SQ001],octs6[SQ002],octs6[SQ003],octs6[SQ004],octs6[SQ005],octs6[SQ006],odc2,odc4[SQ001],odc4[SQ002],odc4[SQ003],odc4[SQ004],odc4[SQ005],odc4[SQ006],odc4[SQ007],odc4[SQ008],odc4[SQ009],odc1[SQ001],odc1[SQ002],odc1[SQ003],odc1[SQ004],odc1[SQ005],odc1[SQ006],odc1[SQ007],odc3[SQ001],odc3[SQ002],odc3[SQ003],odc3[SQ004],odc3[SQ005],odc3[SQ006],odc3[SQ007],odc3[SQ008],odc3[SQ009],adc2,adc8,adc4,adc5,adc07,adc1[SQ001],adc1[SQ002],adc1[SQ003],adc1[SQ004],adc1[SQ005],adc1[SQ006],adc1[SQ007],adc1[SQ008],adc1[SQ009],adc1[SQ010],adc1[SQ011],adc1[SQ012],adc1[SQ013],adc1[SQ014],adc1[SQ015],adc3[SQ001],adc3[SQ002],adc3[SQ003],adc3[SQ004],adc6[SQ001],adc6[SQ002],adc6[SQ003],MO01[SQ001],MO01[SQ002],MO01[SQ003],MO01[SQ004],MO01[SQ005],MO01[SQ006],MO01[SQ007],MO01[SQ008],MO01[SQ009],MO01[SQ010],MO01[SQ011],MO01[SQ012],MO01[SQ013],MO02[SQ001],MO02[SQ002],MO02[SQ003],MO02[SQ004],MO02[SQ005],MO02[SQ006],MO02[SQ007],MO02[SQ008],MO02[SQ009],MO02[SQ010],MO02[SQ011],MO02[SQ012],MO03[SQ001],MO03[SQ002],MO03[SQ003],MO03[SQ004],MO03[SQ005],MO03[SQ006],MO03[SQ007],MO03[SQ008],MO05,MO07,MO04[SQ001],MO04[SQ002],MO04[SQ003],MO04[SQ004],MO06[SQ001],MO06[SQ002],MO06[SQ003],MO06[SQ004],VAL01[SQ001],VAL01[SQ002],VAL01[SQ003],VAL01[SQ004],VAL01[SQ005],VAL01[SQ006],VAL01[SQ007],VAL01[SQ008],VAL01[SQ009],VAL01[SQ010],VAL02[SQ001],VAL02[SQ002],VAL02[SQ003],VAL02[SQ004],VAL02[SQ005],CE02,CE03,CE04,CE05,CE06,CE10,CE07,CE08,CE11,CE13,CE14
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Interessado,Pouco Interessado,Interessado,Muito Interessado,Interessado,Interessado,Interessado,Sim,Não sei,Sim,Não sei,Não sei,Sim,Sim,Não sei,Não sei,Linkedin;Youtube,Insuficiente,Positivas,Frequentemente,Frequentemente,Raramente,Às vezes,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Um pouco prejudicial,Um pouco prejudicial,Muito prejudicial,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Poucos riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo em parte,Discordo em parte,Concordo em parte,Discordo em parte,Discordo em parte,Preocupado,Preocupado,Preocupado,Preocupado,Preocupado,Preocupado,Pouco importante,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Concordo em parte,Concordo em parte,Concordo totalmente,Discordo em parte,Concordo em parte,Discordo em parte,Discordo em parte,Importante,Um pouco importante,Nada importante,Nada importante,Muito importante,Muito importante,Importante,Importante,Nada importante,Raramente,"Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",,,Não,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,2 vezes,Nenhuma vez,2 vezes,Nenhuma vez,4 vezes,Importante,Importante,Importante,Pouco importante,Raramente,Raramente,Raramente,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Concordo parcialmente,Não,Conheço mas não participei,Conheço mas não participei,Não conheço,Não conheço,Participei como docente,Participei como docente,Participei como docente,Não conheço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer","Sim, já fiz","Não fiz, mas poderia fazer",Masculino,Ensino Superior Incompleto,Branca,Cristã Protestantes históricas ,Muito importante,ciência aplicada,De centro,2,Ciências Exatas e da Terra,Sudeste,10
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Muito Interessado,Interessado,Muito Interessado,Interessado,Pouco Interessado,Muito Interessado,Nada Interessado,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Não,The Economist (Seção de Ciência e Tecnologia); The New York Times (Seção de Ciência e Tecnologia); Folha de S. Paulo (Seção de Ciência e Tecnologia),Insuficiente,Positivas,Frequentemente,Às vezes,Frequentemente,Frequentemente,Às vezes,Frequentemente,Frequentemente,Às vezes,Muito prejudicial,Muito prejudicial,Muito prejudicial,Um pouco prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,Muito prejudicial,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Poucos riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo totalmente,Concordo totalmente,Concordo em parte,Preocupado,Nada preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo totalmente,Discordo em parte,Concordo totalmente,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Em geral sim,Sobre temas controversos de interesse público nos quais você tem alguma expertise.,6,6,,4 vezes,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,2 vezes,mais de 5 vezes,mais de 5 vezes,3 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,3 vezes,Nenhuma vez,Muito importante,Muito importante,Muito importante,Muito importante,Frequentemente,Frequentemente,Raramente,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Sim,Concordo totalmente,,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Conheço mas não participei,Participei como docente,Conheço mas não participei,Participei como docente,Não pertenço,Não pertenço,Pertenço e frequento,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz",Masculino,Ensino Superior,Branca,Não tenho religião,,ciência aplicada,De esquerda,2,Ciências Sociais Aplicadas,Centro-Oeste,13
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Pouco Interessado,Interessado,Nada Interessado,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Revista Pesquisa FAPESP; Podcast The Guardian - Science Weekly; Podcast Ciência Suja ,Insuficiente,Positivas,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,9.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,Intermediário,Muitos benefícios,Poucos riscos,Concordo em partes,Concordo em partes,Concordo totalmente,Concordo em partes,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo em parte,Discordo em parte,Preocupado,Preocupado,Preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Concordo em parte,Concordo em parte,Concordo em parte,Discordo em parte,Concordo em parte,Discordo totalmente,Concordo totalmente,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Importante,Em geral sim,"Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",70,70,Sim,3 vezes,mais de 5 vezes,3 vezes,mais de 5 vezes,Nenhuma vez,4 vezes,5 vezes,3 vezes,mais de 5 vezes,Nenhuma vez,mais de 5 vezes,4 vezes,Nenhuma vez,mais de 5 vezes,Nenhuma vez,Muito importante,Pouco importante,Muito importante,Importante,Frequentemente,Frequentemente,Raramente,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Concordo totalmente,Sim,Conheço mas não participei,Conheço mas não participei,Não conheço,Conheço mas não participei,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Não pertenço,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz",Masculino,Ensino Médio,Branca,Ateu ou agnóstico,Nada importante,tanto ciência básica como aplicada,De esquerda,1B,Ciências Biológicas,Sul,15
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Pouco Interessado,Interessado,Pouco Interessado,Muito Interessado,Interessado,Interessado,Pouco Interessado,Sim,Não,Não,Não,Não,Não,Não,Não,Não,boletim da fapesp,Insuficiente,Positivas,Às vezes,Às vezes,Frequentemente,Às vezes,Às vezes,Frequentemente,Frequentemente,Frequentemente,Não causa prejuízos,Não causa prejuízos,Prejudicial,Prejudicial,Muito prejudicial,Um pouco prejudicial,Prejudicial,Muito prejudicial,7.0,7.0,9.0,8.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Alguns riscos,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo em parte,Discordo em parte,Concordo totalmente,Concordo em parte,Discordo em parte,Nada preocupado,Preocupado,Preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Importante,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Concordo em parte,Concordo totalmente,Concordo totalmente,Discordo em parte,Concordo em parte,Discordo em parte,Discordo em parte,Muito importante,Muito importante,Um pouco importante,Um pouco importante,Importante,Muito importante,Importante,Importante,Um pouco importante,"Em geral, não","Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",1,1,Sim,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Muito importante,Importante,Importante,Nada importante,Raramente,Raramente,Raramente,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Concordo totalmente,Sim,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Participei como docente,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Participei como docente,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz",Masculino,Ensino Fundamental Incompleto,Branca,Cristã católica ,Importante,ciência aplicada,De centro,1A,Engenharias,Sudeste,30
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Muito Interessado,Muito Interessado,Interessado,Muito Interessado,Interessado,Pouco Interessado,Nada Interessado,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Twitter Mellaine Fontes-Dutra @mellziland; Twitter Atila Iamarino @oatila; Twitter Luiza Caires @luizacaires3,Insuficiente,Negativas,Às vezes,Às vezes,Frequentemente,Raramente,Às vezes,Frequentemente,Frequentemente,Às vezes,Muito prejudicial,Muito prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,Um pouco prejudicial,Prejudicial,Muito prejudicial,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,Intermediário,Muitos benefícios,Poucos riscos,Concordo totalmente,Concordo em partes,Concordo totalmente,Concordo em partes,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Preocupado,Nada preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Importante,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Concordo em parte,Concordo em parte,Concordo em parte,Discordo em parte,Discordo em parte,Discordo em parte,Concordo totalmente,Um pouco importante,Um pouco importante,Importante,Muito importante,Importante,Muito importante,Um pouco importante,Muito importante,Um pouco importante,Frequentemente,"Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",100,50,Não,2 vezes,2 vezes,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,2 vezes,mais de 5 vezes,Nenhuma vez,mais de 5 vezes,Nenhuma vez,Nenhuma vez,mais de 5 vezes,mais de 5 vezes,Muito importante,Importante,Muito importante,Muito importante,Raramente,Frequentemente,Frequentemente,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Concordo parcialmente,Não,Não conheço,Não conheço,Não conheço,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Não conheço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz","Não fiz, mas poderia fazer",Masculino,Ensino Fundamental Incompleto,Parda,Cristã católica ,Pouco importante,ciência aplicada,De esquerda,2,Ciências da Saúde,Sudeste,10
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Interessado,Muito Interessado,Interessado,Muito Interessado,Interessado,Interessado,Pouco Interessado,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,"Algumas plataformas na web, como Science Insider; Questão de Ciência; O Eco; etc",Insuficiente,Muito negativas/ de hostilidade à ciência,Frequentemente,Às vezes,Frequentemente,Frequentemente,Às vezes,Frequentemente,Frequentemente,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,Muito prejudicial,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Alguns riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo em parte,Preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Importante,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Concordo em parte,Concordo totalmente,Concordo totalmente,Concordo em parte,Discordo em parte,Discordo em parte,Concordo em parte,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Frequentemente,Sobre os resultados de sua pesquisa,6,6,Não,1 vez,1 vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,1 vez,3 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Muito importante,,Muito importante,,Frequentemente,Raramente,,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Concordo parcialmente,Sim,Não conheço,Não conheço,Não conheço,Não conheço,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Participei como docente,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,Pertenço e frequento,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz",Masculino,Ensino Médio,,,,tanto ciência básica como aplicada,De esquerda,1A,Ciências Exatas e da Terra,Sudeste,18
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Interessado,Muito Interessado,Muito Interessado,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,,Insuficiente,Negativas,Frequentemente,Às vezes,Frequentemente,Às vezes,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Muito prejudicial,Muito prejudicial,Prejudicial,Irrelevante para a ciência,Prejudicial,Irrelevante para a ciência,Irrelevante para a ciência,Irrelevante para a ciência,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Avançado,Muitos benefícios,Poucos riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo em parte,Concordo em parte,Concordo totalmente,Concordo totalmente,Concordo em parte,Não sei,Nada preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Concordo em parte,Concordo totalmente,Concordo em parte,Discordo em parte,Concordo em parte,Discordo totalmente,Concordo totalmente,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Em geral sim,Sobre os resultados de sua pesquisa,4,3,Não,3 vezes,4 vezes,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,3 vezes,Nenhuma vez,2 vezes,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Muito importante,Muito importante,Importante,Nada importante,Frequentemente,Frequentemente,Frequentemente,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Concordo totalmente,Sim,Conheço mas não participei,Não conheço,Não conheço,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Participei como docente,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz",Masculino,Ensino Superior,Branca,Não tenho religião,,tanto ciência básica como aplicada,De centro,1D,Ciências da Saúde,Sudeste,21 anos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Muito Interessado,Interessado,Pouco Interessado,Muito Interessado,Pouco Interessado,Interessado,Pouco Interessado,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim,,Insuficiente,Negativas,Às vezes,Nunca,Às vezes,Às vezes,Às vezes,Frequentemente,Frequentemente,Às vezes,Muito prejudicial,Muito prejudicial,Muito prejudicial,Um pouco prejudicial,Muito prejudicial,Um pouco prejudicial,,Prejudicial,10.0,10.0,10.0,7.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Poucos riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo totalmente,Concordo em parte,Muito preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Muito preocupado,Extremamente preocupado,Muito importante,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Concordo em parte,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo totalmente,Discordo totalmente,Concordo totalmente,Importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Raramente,"Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",,,Não,Nenhuma vez,5 vezes,1 vez,2 vezes,Nenhuma vez,Nenhuma vez,2 vezes,1 vez,1 vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,mais de 5 vezes,,,Muito importante,Nada importante,,,,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Concordo parcialmente,Sim,Não conheço,Não conheço,Não conheço,Não conheço,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Participei como docente,Não pertenço,Não pertenço,Pertenço e frequento,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz","Não fiz, e não faria de jeito nenhum","Não fiz, mas poderia fazer",Feminino,Ensino Superior,Branca,Não tenho religião,,ciência aplicada,,2,Ciências da Saúde,Sudeste,16
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Interessado,Interessado,Interessado,Muito Interessado,Pouco Interessado,Muito Interessado,Nada Interessado,Sim,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,,Insuficiente,Muito negativas/ de hostilidade à ciência,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,,,,,,,,,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Alguns riscos,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo em parte,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo em parte,Nada preocupado,Nada preocupado,Preocupado,Preocupado,Preocupado,Preocupado,Importante,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,,Concordo em parte,Concordo totalmente,Discordo em parte,Discordo em parte,Concordo em parte,Concordo em parte,Muito importante,Importante,Importante,Importante,Muito importante,Importante,Importante,Importante,Importante,"Em geral, não","Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",5,5,Não,1 vez,1 vez,Nenhuma vez,1 vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,5 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,2 vezes,,,Nada importante,Nada importante,Frequentemente,Nunca,Nunca,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Concordo parcialmente,Sim,Não conheço,Não conheço,Não conheço,Não conheço,Participei como docente,Participei como docente,Conheço mas não participei,Conheço mas não participei,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz",Masculino,Ensino Médio,Preta,Não tenho religião,,ciência básica,De esquerda,1D,Ciências Exatas e da Terra,Sudeste,18
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Pouco Interessado,Interessado,Interessado,Muito Interessado,Nada Interessado,Interessado,Pouco Interessado,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Revista da Fapesp,Insuficiente,Negativas,Frequentemente,Nunca,Às vezes,Raramente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Um pouco prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,Muito prejudicial,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Nenhum risco,Discordo em partes,Concordo totalmente,Concordo em partes,Discordo em partes,Concordo em parte,Concordo totalmente,Concordo em parte,Discordo totalmente,Concordo em parte,Preocupado,Preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Muito preocupado,Importante,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,,Concordo totalmente,Concordo totalmente,Discordo em parte,Concordo em parte,Discordo totalmente,Concordo totalmente,Muito importante,Muito importante,Importante,Importante,Muito importante,Importante,Importante,Muito importante,Importante,Raramente,"Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",5,4,Não,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,2 vezes,1 vez,3 vezes,Nenhuma vez,3 vezes,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Importante,Não sei,Muito importante,Nada importante,Frequentemente,Frequentemente,,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Concordo totalmente,Sim,Conheço mas não participei,Não conheço,Não conheço,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Não pertenço,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito","Pertenço, mas não frequento muito",Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz","Não fiz, mas poderia fazer",Feminino,Ensino Fundamental Incompleto,Branca,Não tenho religião,,tanto ciência básica como aplicada,De esquerda,1A,Ciências Humanas,Sudeste,42
